영화 제목,평점,이미지 주소,감독,출연자,개봉일자
그녀가 사라졌다,8.5,https://movie-phinf.pstatic.net/20210217_83/1613533547319a4Nc6_JPEG/movie_image.jpg?type=m99_141_2,루크 이브,"['브렌튼 스웨이츠', '릴리 설리반', '조엘 잭슨']",2021.03.17 개봉
바울,9.16,https://movie-phinf.pstatic.net/20181126_296/1543195305541TXc6u_JPEG/movie_image.jpg?type=m99_141_2,앤드류 하얏트,"['제임스 폴크너', '제임스 카비젤']",2018.10.31 개봉
"마진 콜: 24시간, 조작된 진실",7.79,https://movie-phinf.pstatic.net/20121221_25/1356071138067PJTJk_JPEG/movie_image.jpg?type=m99_141_2,J.C. 챈더,"['케빈 스페이시', '제레미 아이언스', '데미 무어', '사이먼 베이커', '재커리 퀸토', '스탠리 투치', '폴 베타니', '펜 바드글리']",2021.03.25 개봉
아비정전,8.48,https://movie-phinf.pstatic.net/20170315_53/148955223217831bi6_JPEG/movie_image.jpg?type=m99_141_2,왕가위,"['장국영', '장만옥', '유덕화']",2017.03.30 개봉
세자매,8.55,https://movie-phinf.pstatic.net/20210114_78/1610588407942CoL2I_JPEG/movie_image.jpg?type=m99_141_2,이승원,"['문소리', '김선영', '장윤주']",2021.01.27 개봉
반지의 제왕: 반지 원정대,9.29,https://movie-phinf.pstatic.net/20210308_290/16151786976685f4Mv_JPEG/movie_image.jpg?type=m99_141_2,피터 잭슨,"['일라이저 우드', '이안 맥켈런', '리브 타일러', '비고 모텐슨', '숀 애스틴', '케이트 블란쳇']",2021.03.11 개봉
동사서독 리덕스,8.66,https://movie-phinf.pstatic.net/20200604_15/1591247825393Va5w9_JPEG/movie_image.jpg?type=m99_141_2,왕가위,"['장학우', '장국영', '장만옥', '유가령', '양조위', '양가휘', '임청하', '양채니']",2013.12.05 개봉
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,7.8,https://movie-phinf.pstatic.net/20210305_203/1614920212117AFeua_JPEG/movie_image.jpg?type=m99_141_2,카와구치 케이이치로,"['스와베 쥰이치', '호시 소이치로', '나미카와 다이스케', '이와사키 마사미', '타카하시 나오즈미', '모리쿠보 쇼타로']",2021.03.24 개봉
헬렌: 내 영혼의 자화상,8.11,https://movie-phinf.pstatic.net/20210205_206/1612491783197zQRPm_JPEG/movie_image.jpg?type=m99_141_2,안티 조키넨,['로라 비른'],2021.02.25 개봉
몬테크리스토: 더 뮤지컬 라이브,9.45,https://movie-phinf.pstatic.net/20210305_78/1614908101775ijCvq_JPEG/movie_image.jpg?type=m99_141_2,오윤동,"['카이', '린아', '김준현', '이종문', '최성원', '이상준', '김영주', '신재범', '최지혜']",2021.03.19 개봉
고백,6.02,https://movie-phinf.pstatic.net/20210323_142/1616486373585xOa7v_JPEG/movie_image.jpg?type=m99_141_2,서은영,"['박하선', '하윤경', '감소현']",2021.02.24 개봉
리틀 조,5.5,https://movie-phinf.pstatic.net/20210325_132/16166613479694u39i_JPEG/movie_image.jpg?type=m99_141_2,예시카 하우스너,"['에밀리 비샴', '벤 위쇼', '키트 코너']",2021.04.01 개봉
