영화 제목,평점,이미지 주소,감독,출연자,개봉일자
열혈남아,7.72,https://movie-phinf.pstatic.net/20111223_66/1324577816239RQoe4_JPEG/movie_image.jpg?type=m99_141_2,이정범,"['설경구', '조한선', '나문희']",2006.11.09 개봉
오차즈케의 맛,7.7,https://movie-phinf.pstatic.net/20201127_146/1606441017408rhJxS_JPEG/movie_image.jpg?type=m99_141_2,오즈 야스지로,"['사부리 신', '코구레 미치요']",2004.05.28 개봉
일대종사,8.01,https://movie-phinf.pstatic.net/20130722_36/13744580771958S8Jg_JPEG/movie_image.jpg?type=m99_141_2,왕가위,"['양조위', '장쯔이', '송혜교', '장첸']",2013.08.22 개봉
지구 최후의 밤,7.48,https://movie-phinf.pstatic.net/20190625_153/1561429790305jIoL8_JPEG/movie_image.jpg?type=m99_141_2,비간,"['탕웨이', '황각']",2019.07.25 개봉
질투,7.23,https://movie-phinf.pstatic.net/20150311_95/1426034858277jfRpr_JPEG/movie_image.jpg?type=m99_141_2,필립 가렐,"['루이스 가렐', '아나 무글라리스']",2015.04.09 개봉
초속5센티미터,8.36,https://movie-phinf.pstatic.net/20191115_264/15737816336734R30z_JPEG/movie_image.jpg?type=m99_141_2,신카이 마코토,"['미즈하시 켄지', '하나무라 사토미', '오노우에 아야카']",2017.11.02 개봉
콜드 워,8.26,https://movie-phinf.pstatic.net/20190116_187/15476220698637Uv7t_JPEG/movie_image.jpg?type=m99_141_2,파벨 포리코브스키,"['요안나 쿨릭', '토마즈 코트']",2019.02.07 개봉
행복한 라짜로,8.66,https://movie-phinf.pstatic.net/20190530_66/15592076283949St3E_JPEG/movie_image.jpg?type=m99_141_2,알리체 로르와커,"['아드리아노 타르디올로', '루카 치코바니']",2019.06.20 개봉
허트 로커,8.44,https://movie-phinf.pstatic.net/20210302_125/1614661968971XyIiF_JPEG/movie_image.jpg?type=m99_141_2,캐서린 비글로우,"['제레미 레너', '안소니 마키', '브라이언 게라그티', '크리스찬 카마고']",2021.03.11 개봉
3개의 얼굴들,8.67,https://movie-phinf.pstatic.net/20200827_116/15984940709696r6FP_JPEG/movie_image.jpg?type=m99_141_2,자파르 파나히,"['베나즈 자파리', '자파르 파나히']",2021.03.04 개봉
건축학개론,8.67,https://movie-phinf.pstatic.net/20120227_164/1330332687398PQ1U3_JPEG/movie_image.jpg?type=m99_141_2,이용주,"['엄태웅', '한가인', '이제훈', '수지']",2012.03.22 개봉
너의 새는 노래할 수 있어,8.14,https://movie-phinf.pstatic.net/20200323_292/1584931659805XcQge_JPEG/movie_image.jpg?type=m99_141_2,미야케 쇼 ,"['에모토 타스쿠', '이시바시 시즈카', '소메타니 쇼타']",2020.04.16 개봉
늑대소년,8.66,https://movie-phinf.pstatic.net/20121015_190/1350280084768nSVfX_JPEG/movie_image.jpg?type=m99_141_2,조성희,"['송중기', '박보영']",2012.12.06 개봉
맹크,7.17,https://movie-phinf.pstatic.net/20201104_244/1604453688064YHNPF_JPEG/movie_image.jpg?type=m99_141_2,데이빗 핀처,"['게리 올드만', '아만다 사이프리드', '릴리 콜린스', '알리스 하워드', '톰 펠프레이', '샘 트로튼', '퍼디난드 킹즐리', '튜펜스 미들턴', '톰 버크', '찰스 댄스', '조셉 크로스', '제이미 맥쉐인', '토비 레오나드 무어', '모니카 고스만', '레븐 램빈']",2020.12.04 개봉
미드나이트 스카이,6.92,https://movie-phinf.pstatic.net/20201029_48/1603933692802GfEyT_JPEG/movie_image.jpg?type=m99_141_2,조지 클루니,"['조지 클루니', '펠리시티 존스', '데이빗 오예로워', '카일 챈들러']",2020.12.09 개봉
미스 사이공: 25주년 특별 공연,9.23,https://movie-phinf.pstatic.net/20161103_256/1478160313724rHuDS_JPEG/movie_image.jpg?type=m99_141_2,브렛 설리반,"['알리스태어 브래머', '에바 노블자다', '홍광호', '존 존 브라이언스']",2016.11.24 개봉
소년시절의 너,9.39,https://movie-phinf.pstatic.net/20200710_218/15943587674860cQNT_JPEG/movie_image.jpg?type=m99_141_2,증국상,"['주동우', '이양천새']",2021.02.10 개봉
아가씨,7.14,https://movie-phinf.pstatic.net/20160523_204/14639851237601hEGQ_JPEG/movie_image.jpg?type=m99_141_2,박찬욱,"['김민희', '김태리', '하정우', '조진웅']",2016.06.01 개봉
테넷,8.17,https://movie-phinf.pstatic.net/20200728_86/15959209130236RePy_JPEG/movie_image.jpg?type=m99_141_2,크리스토퍼 놀란,"['존 데이비드 워싱턴', '로버트 패틴슨', '엘리자베스 데비키']",2020.08.26 개봉
파수꾼,9.19,https://movie-phinf.pstatic.net/20111223_299/1324632673906KHPrP_JPEG/movie_image.jpg?type=m99_141_2,윤성현,"['이제훈', '서준영', '박정민', '조성하']",2011.03.03 개봉
프라미싱 영 우먼,8.45,https://movie-phinf.pstatic.net/20210208_83/1612747165478tIX9H_JPEG/movie_image.jpg?type=m99_141_2,에머랄드 펜넬,['캐리 멀리건'],2021.02.24 개봉
